Year Band Day Net Sex
2006 1911.52155 1 33 M
2006 1911.52155 3 27 M
2006 1911.52155 3 28 M
2006 1911.52155 6 29 M
2006 1911.52162 2 10 F
2006 1911.52162 5 9 F
2006 1911.52162 9 7 F
2006 1911.52164 2 26 F
2006 1911.52167 3 24 F
2006 1911.52168 3 12 F
2006 1911.52168 4 26 F
2006 1911.52169 4 29 M
2006 1911.52170 4 10 F
2006 1911.52175 5 2 M
2006 1911.52175 6 2 M
2006 1911.52176 5 21 M
2006 1911.52180 5 30 F
2006 1911.52180 7 33 F
2006 1911.52192 8 18 F
2006 1911.52199 10 15 F
2007 1831.28709 1 3 F
2007 1831.28709 2 44 F
2007 1911.52070 1 25 M
2007 1911.52070 4 29 M
2007 1911.52070 4 18 M
2007 1911.52070 7 17 M
2007 1911.52070 7 14 M
2007 1911.52070 8 13 M
2007 1911.52074 7 42 M
2007 1911.52104 1 29 M
2007 1911.52104 1 28 M
2007 1911.52104 3 32 M
2007 1911.52104 4 27 M
2007 1911.52104 6 15 M
2007 1911.52104 8 9 M
2007 1911.52104 10 13 M
2007 1911.52116 1 29 M
2007 1911.52116 3 31 M
2007 1911.52122 4 18 F
2007 1911.52122 5 24 F
2007 1911.52122 10 14 F
2007 1911.52140 2 2 F
2007 1911.52141 1 38 M
2007 1911.52141 5 41 M
2007 1911.52141 7 42 M
2007 1911.52141 10 36 M
2007 1911.52155 1 9 M
2007 1911.52155 3 29 M
2007 1911.52155 6 30 M
2007 1911.52155 7 12 M
2007 1911.52155 9 33 M
2007 1911.52164 7 43 F
2007 1911.52167 5 21 F
2007 1911.52167 5 27 F
2007 1911.52169 2 44 M
2007 1911.52169 7 44 M
2007 1911.52170 1 12 F
2007 1911.52175 1 1 M
2007 1911.52205 1 23 F
2007 1911.52206 1 34 F
2007 1911.52206 7 11 F
2007 1911.52206 7 11 F
2007 1911.52206 7 11 F
2007 1911.52208 1 24 M
2007 1911.52208 4 21 M
2007 1911.52208 9 18 M
2007 1911.52208 9 16 M
2007 1911.52213 1 33 M
2007 1911.52213 7 32 M
2007 1911.52216 2 29 M
2007 1911.52220 3 2 F
2007 1911.52221 4 3 F
2007 1911.52221 8 37 F
2007 1911.52227 5 29 F
2007 1911.52227 8 31 F
2007 1911.52235 8 30 M
2007 1911.52237 9 14 M
2007 1911.52238 9 42 F
2007 1911.52240 10 37 F
2008 1601.42019 1 16 M
2008 1601.42019 2 21 M
2008 1911.52074 1 1 M
2008 1911.52164 5 43 F
2008 1911.52216 1 21 M
2008 1911.52216 2 22 M
2008 1911.52216 4 24 M
2008 1911.52243 1 4 M
2008 1911.52244 1 6 M
2008 1911.52246 1 23 F
2008 1911.52246 2 24 F
2008 1911.52246 2 27 F
2008 1911.52246 3 22 F
2008 1911.52246 4 24 F
2008 1911.52247 1 14 F
2008 1911.52247 1 13 F
2008 1911.52247 2 15 F
2008 1911.52247 3 29 F
2008 1911.52255 2 14 M
2008 1911.52255 4 18 M
2008 1911.52256 2 17 M
2008 1911.52260 3 35 F
2008 1911.52261 4 4 F
2008 1911.52271 7 33 F
2008 1911.52271 8 29 F
2008 1911.52274 7 31 M
2008 1911.52275 8 13 F
2008 1911.52275 8 13 F
2008 1911.52276 8 14 F
2008 1911.52276 10 10 F
2008 1911.52278 8 29 M
2008 1911.52278 8 13 M
2008 1911.52279 10 7 M
2008 2091.97751 8 13 M
2009 1911.52074 3 7 M
2009 1911.52074 4 33 M
2009 1911.52074 7 13 M
2009 1911.52074 9 9 M
2009 1911.52074 10 42 M
2009 1911.52169 3 8 M
2009 1911.52169 10 4 M
2009 1911.52213 9 31 M
2009 1911.52216 2 17 M
2009 1911.52216 5 30 M
2009 1911.52221 3 43 F
2009 1911.52221 7 42 F
2009 1911.52255 2 8 M
2009 1911.52256 6 27 M
2009 1911.52256 7 14 M
2009 1911.52256 8 14 M
2009 1911.52275 3 14 F
2009 1911.52284 1 18 F
2009 1911.52284 3 26 F
2009 1911.52284 9 14 F
2009 1911.52285 1 18 F
2009 1911.52288 1 5 F
2009 1911.52288 4 4 F
2009 1911.52289 -3 36 M
2009 1911.52289 1 15 M
2009 1911.52289 2 10 M
2009 1911.52289 2 14 M
2009 1911.52291 2 9 F
2009 1911.52291 2 9 F
2009 1911.52291 2 8 F
2009 1911.52291 5 5 F
2009 1911.52291 10 9 F
2009 1911.52296 4 31 F
2009 1911.52296 5 30 F
2009 1911.52297 4 32 M
2009 2391.85205 8 33 M
