SPECIES,STATION ID,Agricultural,ForestSource,Forested,Urbanized,PreBr1-1,PreBr1-2,PreBr1-3,Breed1-1,Breed1-2,Breed1-3,PostBr1-1,PostBr1-2,PostBr1-3,PreBr2-1,PreBr2-2,PreBr2-3,Breed2-1,Breed2-2,Breed2-3
AFCD,Agri - 30,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA
AFCD,Agri - 4,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 5,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 6,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 7,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 8,1,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 9,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Edge (G) - 26,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 28,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Edge (G) - 29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 30,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 33,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 34,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 36,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 37,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Edge (G) - 38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 42,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 43,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (G) - 44,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 16,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AFCD,Edge (S) - 20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AFCD,Edge (S) - 21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 22,0,1,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Edge (S) - 24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 4,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Edge (S) - 7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,For - 9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Urban - 1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1
AFCD,Urban - 10,0,0,0,1,0,1,0,1,1,1,0,0,NA,1,0,1,0,0,1
AFCD,Urban - 11,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AFCD,Urban - 12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Urban - 13,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Urban - 14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AFCD,Urban - 15,0,0,0,1,1,0,1,1,0,0,0,0,NA,0,0,0,1,0,1
AFCD,Urban - 16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
AFCD,Urban - 17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Urban - 18,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Urban - 19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Urban - 2,0,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0
AFCD,Urban - 20,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
AFCD,Urban - 21,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1
AFCD,Urban - 22,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0
AFCD,Urban - 23,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1
AFCD,Urban - 24,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
AFCD,Urban - 25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Urban - 26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFCD,Urban - 27,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Urban - 28,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
AFCD,Urban - 29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
AFCD,Urban - 3,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Urban - 30,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Urban - 4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
AFCD,Urban - 5,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Urban - 6,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
AFCD,Urban - 7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
AFCD,Urban - 8,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Urban - 9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMKE,Agri - 1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AMKE,Agri - 10,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0
AMKE,Agri - 11,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AMKE,Agri - 12,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0
AMKE,Agri - 13,1,0,0,0,0,1,1,0,0,0,0,0,NA,1,0,0,0,0,0
AMKE,Agri - 14,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
AMKE,Agri - 15,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA
AMKE,Agri - 16,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
AMKE,Agri - 17,1,0,0,0,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,0
AMKE,Agri - 18,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AMKE,Agri - 19,1,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
AMKE,Agri - 2,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
